"";"Nombre.buscado";"Nombre.trivago";"Precio.mb";"Hotel.mb";"Wifi.lobby";"Wifi.habitacion";"Piscina";"Spa";"Parqueadero";"Mascotas";"Aire.acondicionado";"Restaurante";"Bar";"Gimnasio";"Estrellas";"Puntaje";"Opinion.cualitativa";"cantidad.opiniones";"Latitud";"Longitud"
"598";"HOTEL DANN BOGOTA";"Hotel Dann Carlton Bogotá";214464;"lol.travel";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"5";8,5;"Excelente";"1155";"4.688026";"-74.047142"
"599";"PARQUE 97 SUITES BOGOTA";"Parque 97 Suites";163133;"Booking.com";"True";"True";"False";"True";"True";"False";"False";"True";"True";"False";"4";8,6;"Excelente";"884";"4.684098";"-74.052605"
"601";"HOTEL BIOXURY";"Ghl Hotel Bioxury";330230;"Prestigia";"True";"True";"False";"True";"True";"True";"True";"True";"True";"False";"5";8,9;"Excelente";"722";"4.665765";"-74.050667"
"605";"HOTEL PORTON BOGOTA";"Hotel Porton Bogota";310491;"lol.travel";"False";"False";"False";"False";"True";"False";"False";"True";"True";"True";"4";8,8;"Excelente";"404";"4.664397";"-74.048103"
"606";"MORRISON  HOTEL  114";"Morrison Hotel 114";270020;"Booking.com";"False";"True";"False";"False";"True";"False";"True";"True";"True";"True";"4";9;"Excelente";"889";"4.696878";"-74.050179"
"607";"Black tower BOFOTA";"Black Tower Premium";212137;"Booking.com";"True";"True";"False";"False";"True";"True";"True";"True";"True";"False";"4";8,8;"Excelente";"904";"4.632308";"-74.093666"
"608";"GHL COMFORT LOS HEROES";"GHL Comfort Los Heroes";126756;"ZenHotels.com";"True";"True";"False";"True";"True";"True";"False";"True";"True";"False";"3";8,4;"Muy bueno";"345";"4.661481";"-74.060867"
"615";"HOTEL BAHIA CARTAGENA";"Bahia";270106;"Booking.com";"True";"False";"True";"False";"True";"True";"True";"True";"True";"False";"3";7,8;"Bueno";"327";"10.397481";"-75.559288"
"616";"EL VIAJERO CARTAGENA";"El Viajero Cartagena";174209;"ZenHotels.com";"True";"False";"True";"False";"False";"False";"True";"False";"False";"False";"4";8,3;"Muy bueno";"4548";"10.42689";"-75.5467"
"619";"HOTEL OR CARTAGENA";"Hotel Cartagena Dubai";349453;"lol.travel";"True";"True";"True";"True";"True";"False";"True";"True";"True";"True";"4";7;"Excelente";"138";"10.407163";"-75.553162"
"620";"CASA DEL CURATO CARTAGENA";"Casa Del Curato";457375;"Booking.com";"False";"True";"True";"False";"False";"False";"True";"False";"False";"False";"3";8,3;"Muy bueno";"359";"10.41373";"-75.533577"
"622";"CASA GLORIA CARTAGENA";"Casa Gloria";322688;"Booking.com";"True";"True";"True";"False";"False";"True";"True";"True";"True";"True";"4";8,7;"Excelente";"650";"10.426604";"-75.545509"
"624";"CASA ESTRELLA CORDOBA CARTAGENA";"Casa Cordoba Estrella";491808;"Booking.com";"True";"True";"True";"False";"False";"True";"False";"False";"False";"False";"4";8,7;"Excelente";"108";"10.42579";"-75.549454"
"626";"VELEROS CARTAGENA";"Veleros";99086;"lol.travel";"True";"True";"False";"False";"False";"False";"True";"False";"False";"False";"3";7,3;"Muy bueno";"172";"10.399117";"-75.558151"
"628";"NAUTILUS PLAZA CARTAGENA";"Nautilus Plaza";165071;"Booking.com";"True";"True";"False";"True";"False";"True";"True";"True";"False";"False";"3";7,4;"Muy bueno";"53";"10.428321";"-75.547318"
"629";"HOTEL CARTAGENA MILLENNIUM CARTAGENA";"Hotel Cartagena Millennium";260493;"lol.travel";"True";"True";"True";"False";"False";"False";"True";"True";"True";"False";"4";7,6;"Bueno";"389";"10.402966";"-75.555412"
"634";"MONTERREY CARTAGENA";"Monterrey";323978;"Booking.com";"True";"True";"True";"True";"True";"True";"True";"True";"True";"False";"3";8,4;"Muy bueno";"391";"10.421801";"-75.547562"
"636";"ARSENAL BOUTIQUE";"Boutique Casa Del Arsenal";211187;"lol.travel";"True";"True";"True";"False";"True";"False";"True";"True";"False";"True";"5";9;"Excelente";"648";"10.4187";"-75.546738"
"637";"CASA VICTORIA";"Casa Victoria";202697;"Booking.com";"True";"True";"False";"False";"True";"False";"True";"True";"True";"True";"4";8,4;"Muy bueno";"474";"6.200422";"-75.564919"
